CMDLINE cat /tmp/tif-only.log
MEM 0.734375 1447638208.6275
MEM 0.734375 1447638208.7340
MEM 0.734375 1447638208.8381
MEM 0.734375 1447638208.9406
MEM 0.734375 1447638209.0452
MEM 0.734375 1447638209.1456
MEM 0.734375 1447638209.2462
MEM 0.734375 1447638209.3505
MEM 0.734375 1447638209.4513
MEM 0.734375 1447638209.5593
MEM 0.734375 1447638209.6606
MEM 0.734375 1447638209.7641
MEM 0.734375 1447638209.8645
MEM 0.734375 1447638209.9647
MEM 0.734375 1447638210.0654
MEM 0.734375 1447638210.1680
MEM 0.734375 1447638210.2686
MEM 0.734375 1447638210.3726
MEM 0.734375 1447638210.4745
MEM 0.734375 1447638210.5766
MEM 0.734375 1447638210.6771
MEM 0.734375 1447638210.7782
MEM 0.734375 1447638210.8821
MEM 0.734375 1447638210.9863
MEM 0.734375 1447638211.0908
MEM 0.734375 1447638211.1930
MEM 0.734375 1447638211.2933
MEM 0.734375 1447638211.3980
MEM 0.734375 1447638211.4994
MEM 0.734375 1447638211.5998
MEM 0.734375 1447638211.7032
MEM 0.734375 1447638211.8077
MEM 0.734375 1447638211.9085
MEM 0.734375 1447638212.0097
MEM 0.734375 1447638212.1112
MEM 0.734375 1447638212.2118
MEM 0.734375 1447638212.3154
MEM 0.734375 1447638212.4156
MEM 0.734375 1447638212.5162
MEM 0.734375 1447638212.6183
MEM 0.734375 1447638212.7189
MEM 0.734375 1447638212.8192
MEM 0.734375 1447638212.9224
MEM 0.734375 1447638213.0233
MEM 0.734375 1447638213.1267
MEM 0.734375 1447638213.2280
MEM 0.734375 1447638213.3283
MEM 0.734375 1447638213.4315
MEM 0.734375 1447638213.5349
MEM 0.734375 1447638213.6392
MEM 0.734375 1447638213.7439
MEM 0.734375 1447638213.8490
MEM 0.734375 1447638213.9533
MEM 0.734375 1447638214.0558
MEM 0.734375 1447638214.1560
MEM 0.734375 1447638214.2563
MEM 0.734375 1447638214.3595
MEM 0.734375 1447638214.4599
MEM 0.734375 1447638214.5603
MEM 0.734375 1447638214.6637
MEM 0.734375 1447638214.7662
MEM 0.734375 1447638214.8675
MEM 0.734375 1447638214.9685
MEM 0.734375 1447638215.0692
MEM 0.734375 1447638215.1695
MEM 0.734375 1447638215.2723
MEM 0.734375 1447638215.3730
MEM 0.734375 1447638215.4739
MEM 0.734375 1447638215.5788
MEM 0.734375 1447638215.6812
MEM 0.734375 1447638215.7836
MEM 0.734375 1447638215.8841
MEM 0.734375 1447638215.9851
MEM 0.734375 1447638216.0854
MEM 0.734375 1447638216.1856
MEM 0.734375 1447638216.2859
MEM 0.734375 1447638216.3908
MEM 0.734375 1447638216.4911
MEM 0.734375 1447638216.5920
MEM 0.734375 1447638216.6950
MEM 0.734375 1447638216.7990
MEM 0.734375 1447638216.9026
MEM 0.734375 1447638217.0062
MEM 0.734375 1447638217.1068
MEM 0.734375 1447638217.2072
MEM 0.734375 1447638217.3112
MEM 0.734375 1447638217.4155
MEM 0.734375 1447638217.5160
MEM 0.734375 1447638217.6184
MEM 0.734375 1447638217.7191
MEM 0.734375 1447638217.8202
MEM 0.734375 1447638217.9209
MEM 0.734375 1447638218.0211
MEM 0.734375 1447638218.1214
MEM 0.734375 1447638218.2219
MEM 0.734375 1447638218.3230
MEM 0.734375 1447638218.4239
MEM 0.734375 1447638218.5286
MEM 0.734375 1447638218.6305
MEM 0.734375 1447638218.7308
MEM 0.734375 1447638218.8326
MEM 0.734375 1447638218.9349
MEM 0.734375 1447638219.0383
MEM 0.734375 1447638219.1398
MEM 0.734375 1447638219.2412
MEM 0.734375 1447638219.3413
MEM 0.734375 1447638219.4457
MEM 0.734375 1447638219.5492
MEM 0.734375 1447638219.6542
MEM 0.734375 1447638219.7552
MEM 0.734375 1447638219.8557
MEM 0.734375 1447638219.9566
MEM 0.734375 1447638220.0577
MEM 0.734375 1447638220.1595
MEM 0.734375 1447638220.2628
MEM 0.734375 1447638220.3656
MEM 0.734375 1447638220.4679
MEM 0.734375 1447638220.5681
MEM 0.734375 1447638220.6732
MEM 0.734375 1447638220.7784
MEM 0.734375 1447638220.8798
MEM 0.734375 1447638220.9849
MEM 0.734375 1447638221.0872
MEM 0.734375 1447638221.1923
MEM 0.734375 1447638221.2932
MEM 0.734375 1447638221.3946
MEM 0.734375 1447638221.4992
MEM 0.734375 1447638221.6043
MEM 0.734375 1447638221.7061
MEM 0.734375 1447638221.8094
MEM 0.734375 1447638221.9114
MEM 0.734375 1447638222.0157
MEM 0.734375 1447638222.1159
MEM 0.734375 1447638222.2174
MEM 0.734375 1447638222.3179
MEM 0.734375 1447638222.4203
MEM 0.734375 1447638222.5236
MEM 0.734375 1447638222.6287
MEM 0.734375 1447638222.7294
MEM 0.734375 1447638222.8302
MEM 0.734375 1447638222.9320
MEM 0.734375 1447638223.0322
MEM 0.734375 1447638223.1331
MEM 0.734375 1447638223.2333
MEM 0.734375 1447638223.3355
MEM 0.734375 1447638223.4369
MEM 0.734375 1447638223.5393
MEM 0.734375 1447638223.6432
MEM 0.734375 1447638223.7483
MEM 0.734375 1447638223.8492
MEM 0.734375 1447638223.9498
MEM 0.734375 1447638224.0533
MEM 0.734375 1447638224.1535
MEM 0.734375 1447638224.2552
MEM 0.734375 1447638224.3557
MEM 0.734375 1447638224.4594
MEM 0.734375 1447638224.5613
MEM 0.734375 1447638224.6658
MEM 0.734375 1447638224.7661
MEM 0.734375 1447638224.8673
MEM 0.734375 1447638224.9694
MEM 0.734375 1447638225.0707
MEM 0.734375 1447638225.1730
MEM 0.734375 1447638225.2768
